date ,volume
"out 01, 1999",6032
"out 08, 1999",6082
"out 15, 1999",6090
"out 22, 1999",6101
"out 29, 1999",6111
"nov 05, 1999",6134
"nov 12, 1999",6128
"nov 19, 1999",6059
"nov 26, 1999",6006
"dez 03, 1999",6087
"dez 10, 1999",6057
"dez 17, 1999",6043
"dez 24, 1999",6058
"dez 31, 1999",6043
"jan 07, 2000",6000
"jan 14, 2000",6019
"jan 21, 2000",6013
"jan 28, 2000",5988
"fev 04, 2000",6011
"fev 11, 2000",5994
"fev 18, 2000",5989
"fev 25, 2000",6007
"mar 03, 2000",5974
"mar 10, 2000",5857
"mar 17, 2000",5859
"mar 24, 2000",5863
"mar 31, 2000",5873
"abr 07, 2000",5820
"abr 14, 2000",5840
"abr 21, 2000",5836
"abr 28, 2000",5838
"mai 05, 2000",5798
"mai 12, 2000",5757
"mai 19, 2000",5793
"mai 26, 2000",5784
"jun 02, 2000",5704
"jun 09, 2000",5804
"jun 16, 2000",5791
"jun 23, 2000",5726
"jun 30, 2000",5732
"jul 07, 2000",5766
"jul 14, 2000",5788
"jul 21, 2000",5769
"jul 28, 2000",5764
"ago 04, 2000",5778
"ago 11, 2000",5745
"ago 18, 2000",5773
"ago 25, 2000",5782
"set 01, 2000",5783
"set 08, 2000",5802
"set 15, 2000",5803
"set 22, 2000",5680
"set 29, 2000",5862
"out 06, 2000",5867
"out 13, 2000",5864
"out 20, 2000",5880
"out 27, 2000",5894
"nov 03, 2000",5903
"nov 10, 2000",5889
"nov 17, 2000",5854
"nov 24, 2000",5883
"dez 01, 2000",5925
"dez 08, 2000",5903
"dez 15, 2000",5897
"dez 22, 2000",5875
"dez 29, 2000",5903
"jan 05, 2001",5944
"jan 12, 2001",5949
"jan 19, 2001",5912
"jan 26, 2001",5935
"fev 02, 2001",5929
"fev 09, 2001",5866
"fev 16, 2001",5857
"fev 23, 2001",5875
"mar 02, 2001",5876
"mar 09, 2001",5868
"mar 16, 2001",5883
"mar 23, 2001",5868
"mar 30, 2001",5883
"abr 06, 2001",5867
"abr 13, 2001",5855
"abr 20, 2001",5861
"abr 27, 2001",5884
"mai 04, 2001",5831
"mai 11, 2001",5780
"mai 18, 2001",5785
"mai 25, 2001",5819
"jun 01, 2001",5823
"jun 08, 2001",5746
"jun 15, 2001",5726
"jun 22, 2001",5740
"jun 29, 2001",5756
"jul 06, 2001",5756
"jul 13, 2001",5770
"jul 20, 2001",5731
"jul 27, 2001",5705
"ago 03, 2001",5745
"ago 10, 2001",5773
"ago 17, 2001",5785
"ago 24, 2001",5796
"ago 31, 2001",5751
"set 07, 2001",5829
"set 14, 2001",5814
"set 21, 2001",5789
"set 28, 2001",5735
"out 05, 2001",5736
"out 12, 2001",5515
